Intensity,pop_xe0,pop_xe1,pop_xe2
2.50153966,0.12792523283618054,0.6742943387660257,0.19778042839779375
2.47963944,0.20491324788538023,0.6749434463155487,0.120143305799071
2.32875244,0.26002931308696053,0.6617469565850507,0.0782237303279888
1.91379515,0.357284265790179,0.5959747016779346,0.04674103253188624
1.62470424,0.433497789432465,0.5449887048288241,0.021513505738710883
1.50395634,0.5175557054420774,0.4665565965421135,0.015887698015809103
1.38959975,0.5947708870340828,0.39642778722294525,0.008801325742971957
1.25575152,0.6610060377868943,0.3339448712674512,0.0050490909456545816
1.10488286,0.7672488156672,0.23144788140781333,0.0013033029249865209
0.94482114,0.8465206087151689,0.15229101673083234,0.0011883745539988872
